id,name,rate,rate2010,earnings,num,population,,,
51036,Charles City,54,80,59900,451,7288,,,
46023,Charles Mix,691,1023,146420,452,11358,,,
45019,Charleston,179,265,8471740,453,334942,,,
26029,Charlevoix,180,266,494376,454,28490,,,
12015,Charlotte,139,206,1473113,455,82641,,,
51037,Charlotte,409,605,124244,456,6472,,,
51540,Charlottesville,0,0,0,457,0,,,
13049,Charlton,69,102,76479,458,8806,,,
31029,Chase,275,407,62205,459,4111,,,
20017,Chase,236,349,40515,460,3038,,,
13051,Chatham,31,46,5408599,461,240048,,,
37037,Chatham,837,1239,745750,462,51620,,,
13053,Chattahoochee,14,21,774239,463,45595,,,
13055,Chattooga,226,334,265747,464,20581,,,
36013,Chautauqua,1516,2244,2024684,465,85233,,,
20019,Chautauqua,340,503,34613,466,2650,,,
35005,Chaves,458,678,904218,467,57717,,,
47021,Cheatham,445,659,337798,468,20396,,,
26031,Cheboygan,161,238,285561,469,27139,,,
53007,Chelan,964,1427,1428968,470,92186,,,
36015,Chemung,257,380,1601237,471,91605,,,
36017,Chenango,693,1026,685253,472,39487,,,
13057,Cherokee,432,639,1558723,473,118745,,,
45021,Cherokee,334,494,763537,474,44218,,,
48073,Cherokee,1304,1930,681465,475,46586,,,
40021,Cherokee,905,1339,439734,476,35630,,,
37039,Cherokee,203,300,306226,477,16806,,,
20021,Cherokee,694,1027,258852,478,14991,,,
19035,Cherokee,820,1214,220429,479,19057,,,
1019,Cherokee,384,568,179650,480,9785,,,
31031,Cherry,517,765,67338,481,4468,,,
51550,Chesapeake,148,219,3280650,482,145236,,,
33005,Cheshire,193,286,1400619,483,89285,,,
42029,Chester,1057,1564,14115694,484,865694,,,
45023,Chester,357,528,455526,485,26646,,,
47023,Chester,318,471,152459,486,20053,,,
51041,Chesterfield,119,176,5101982,487,375122,,,
45025,Chesterfield,426,630,586907,488,45649,,,
31033,Cheyenne,530,784,214677,489,21687,,,
8017,Cheyenne,243,360,37325,490,2562,,,
20023,Cheyenne,343,508,35718,491,2169,,,
28017,Chickasaw,406,601,228099,492,12945,,,
19037,Chickasaw,869,1286,179333,493,15689,,,
5017,Chicot,233,345,141883,494,15332,,,
48075,Childress,199,295,82153,495,11116,,,
1021,Chilton,603,892,307038,496,39228,,,
55017,Chippewa,1395,2065,885808,497,44556,,,
26033,Chippewa,298,441,513955,498,35913,,,
27023,Chippewa,621,919,228158,499,21512,,,
27025,Chisago,718,1063,507631,500,33211,,,
50007,Chittenden,345,511,4672624,501,182235,,,
1023,Choctaw,200,296,222807,502,23980,,,
40023,Choctaw,783,1159,143645,503,8023,,,
28019,Choctaw,182,269,79651,504,5366,,,
30015,Chouteau,456,675,43957,505,3102,,,
37041,Chowan,140,207,198922,506,26344,,,
21047,Christian,992,1468,2403357,507,178272,,,
29043,Christian,1192,1764,483106,508,27904,,,
17021,Christian,736,1089,424489,509,33997,,,
32001,Churchill,460,681,429171,510,35901,,,
35006,Cibola,153,226,218167,511,19457,,,
40025,Cimarron,353,522,35237,512,3636,,,
12017,Citrus,258,382,1071044,513,51202,,,
41005,Clackamas,2842,4206,6717902,514,373723,,,
47025,Claiborne,1353,2002,286888,515,11506,,,
28021,Claiborne,164,243,212773,516,16388,,,
22027,Claiborne,227,336,163795,517,17166,,,
53009,Clallam,297,440,862779,518,61847,,,
26035,Clare,270,400,287775,519,24587,,,
45027,Clarendon,327,484,277148,520,20249,,,
42031,Clarion,400,592,629954,521,56695,,,
32003,Clark,183,271,33536151,522,1456549,,,
