id,name,rate,earnings
19033,Cerro Gordo,677,942418
23009,Hancock,256,942185
37065,Edgecombe,293,940862
17095,Knox,848,939251
20061,Geary,204,936631
6115,Yuba,569,929088
5115,Pope,810,926582
2122,Kenai Peninsula,85,926305
41035,Klamath,769,922297
20161,Riley,416,919436
39091,Logan,668,917052
26087,Lapeer,989,916302
22115,Vernon,447,915401
27131,Rice,969,909178
35005,Chaves,458,904218
40131,Rogers,1186,903625
1033,Colbert,440,900480
5139,Union,240,898327
8045,Garfield,369,898141
27169,Winona,910,894623
40071,Kay,867,894502
48187,Guadalupe,1536,891984
36021,Columbia,360,891508
37161,Rutherford,427,890669
8097,Pitkin,48,889015
27049,Goodhue,1337,887655
55017,Chippewa,1395,885808
26159,Van Buren,1001,883802
17177,Stephenson,979,883651
8067,La Plata,603,883339
29169,Pulaski,457,876960
17199,Williamson,498,876478
36077,Otsego,753,875160
32005,Douglas,140,873864
37085,Harnett,656,873287
22075,Plaquemines,117,868882
39145,Scioto,535,867468
13255,Spalding,194,867380
5145,White,1268,866988
54055,Mercer,478,863579
53009,Clallam,297,862779
41033,Josephine,556,860179
36037,Genesee,452,858653
17195,Whiteside,959,855467
39051,Fulton,716,850759
36053,Madison,568,848600
40147,Washington,603,846183
35015,Eddy,398,846028
21101,Henderson,483,843429
45043,Georgetown,189,839962
13039,Camden,43,839312
18059,Hancock,521,837946
19045,Clinton,1157,836446
54049,Marion,312,832650
31019,Buffalo,920,831447
16069,Nez Perce,278,830241
18071,Jackson,734,829418
48257,Kaufman,1557,828906
13275,Thomas,396,826618
27141,Sherburne,453,826097
5093,Mississippi,389,824293
41011,Coos,613,823675
42005,Armstrong,591,823642
51800,Suffolk,222,822527
24009,Calvert,367,818887
13073,Columbia,135,817806
12055,Highlands,430,817037
39039,Defiance,707,815993
49003,Box Elder,852,815925
21199,Pulaski,1899,813735
51061,Fauquier,787,813560
53021,Franklin,623,813213
2110,Juneau,6,812841
39147,Seneca,1062,812641
48367,Parker,1781,810973
47145,Roane,458,810653
21125,Laurel,1122,809722
18113,Noble,855,808236
54079,Putnam,423,807155
39009,Athens,462,806774
48347,Nacogdoches,1041,804474
55005,Barron,1338,803746
28151,Washington,165,803612
48471,Walker,670,803380
55021,Columbia,1221,803278
48381,Randall,448,802674
24047,Worcester,396,798876
48277,Lamar,1301,798816
27067,Kandiyohi,973,795029
42121,Venango,319,794782
2185,North Slope,0,793062
35035,Otero,419,790876
56039,Teton,70,790687
48409,San Patricio,353,787943
39013,Belmont,562,784071
17063,Grundy,418,782490
24041,Talbot,179,780767
27147,Steele,728,780639
45057,Lancaster,418,778355
39011,Auglaize,854,777107
29037,Cass,1370,776878
13129,Gordon,492,775641
40019,Carter,925,774308
13053,Chattahoochee,14,774239
37077,Granville,655,773093
26117,Montcalm,799,772061
23025,Somerset,377,771051
50003,Bennington,124,769684
33003,Carroll,138,768186
45021,Cherokee,334,763537
39037,Darke,1669,761955
36051,Livingston,514,760921
22047,Iberville,118,760805
27111,Otter Tail,2241,760686
37167,Stanly,484,759527
32007,Elko,254,759243
55135,Waupaca,1039,758212
46013,Brown,937,756732
19187,Webster,908,755495
19127,Marshall,758,755378
6069,San Benito,463,753532
51199,York,47,753090
17093,Kendall,423,751788
17081,Jefferson,803,750616
39083,Knox,972,747489
17141,Ogle,950,746419
37037,Chatham,837,745750
29145,Newton,1514,745376
23013,Knox,197,739879
45059,Laurens,591,738389
42119,Union,411,737991
39005,Ashland,839,737613
12089,Nassau,252,737000
37163,Sampson,1123,735472
35009,Curry,460,733076
48001,Anderson,1368,732540
17049,Effingham,956,731337
29101,Johnson,1394,731227
36023,Cortland,411,730580
37031,Carteret,92,730555
47107,McMinn,895,729671
13277,Tift,308,729645
37189,Watauga,619,729371
22097,St. Landry,985,728874
37061,Duplin,1183,728289
35031,McKinley,172,727266
13031,Bulloch,464,726418
29213,Taney,459,724817
13175,Laurens,537,724772
37047,Columbus,1001,720273
27085,McLeod,995,720123
13217,Newton,222,719321
23023,Sagadahoc,110,719087
55075,Marinette,556,718085
39171,Williams,666,716971
19125,Marion,842,715380
36035,Fulton,158,713370
18011,Boone,581,710934
39129,Pickaway,550,710275
26047,Emmet,171,708848
31119,Madison,742,708635
51099,King George,111,708483
45055,Kershaw,203,708400
42083,McKean,188,708281
8117,Summit,14,707445
18145,Shelby,623,705838
37109,Lincoln,377,703993
49043,Summit,322,703648
18099,Marshall,830,703396
36025,Delaware,604,699613
17007,Boone,433,699585
18107,Montgomery,613,698072
12023,Columbia,472,697123
40125,Pottawatomie,1093,696156
20055,Finney,353,693799
40037,Creek,1048,691806
48291,Liberty,801,690712
29159,Pettis,1108,686251
36017,Chenango,693,685253
5125,Saline,308,683340
6109,Tuolumne,225,683194
4001,Apache,255,682274
26059,Hillsdale,894,682074
48073,Cherokee,1304,681465
17105,Livingston,1334,681422
26067,Ionia,878,680780
51195,Wise,114,678822
51019,Bedford,1095,677244
19111,Lee,729,676959
36033,Franklin,441,676879
1071,Jackson,1040,676574
36107,Tioga,455,676370
23017,Oxford,304,674672
36115,Washington,607,673410
22061,Lincoln,272,671761
29023,Butler,660,670040
47045,Dyer,443,669192
31141,Platte,955,668165
55085,Oneida,72,665976
28045,Hancock,167,665969
12107,Putnam,337,665859
36043,Herkimer,541,664034
26037,Clinton,1053,661806
39075,Holmes,1269,660683
6103,Tehama,1172,660018
1127,Walker,394,659720
